TimeSeries ID,tpu/mxu/utilization.tpu_worker.ALIGN_MEAN.REDUCE_MEAN.resource.type=tpu_worker AND resource.label.project_id="intercloud-320520" AND metric.type="tpu.googleapis.com/tpu/mxu/utilization" AND resource.labels.zone="us-central1-b" AND resource.labels.node_id="test-chain-app-0-train-op".project_id:intercloud-320520.worker_id:0
worker_id,0
project_id,intercloud-320520
Thu Sep 08 2022 19:58:50 GMT-0700 (Pacific Daylight Time),34.39682941746528
Thu Sep 08 2022 19:59:00 GMT-0700 (Pacific Daylight Time),34.39682941746528
Thu Sep 08 2022 19:59:10 GMT-0700 (Pacific Daylight Time),34.5581583538673
Thu Sep 08 2022 19:59:20 GMT-0700 (Pacific Daylight Time),34.5581583538673
Thu Sep 08 2022 19:59:30 GMT-0700 (Pacific Daylight Time),34.5581583538673
Thu Sep 08 2022 19:59:40 GMT-0700 (Pacific Daylight Time),34.5581583538673
Thu Sep 08 2022 19:59:50 GMT-0700 (Pacific Daylight Time),34.5581583538673
Thu Sep 08 2022 20:00:00 GMT-0700 (Pacific Daylight Time),34.5581583538673
Thu Sep 08 2022 20:00:10 GMT-0700 (Pacific Daylight Time),35.82062843141568
Thu Sep 08 2022 20:00:20 GMT-0700 (Pacific Daylight Time),35.82062843141568
Thu Sep 08 2022 20:00:30 GMT-0700 (Pacific Daylight Time),35.82062843141568
Thu Sep 08 2022 20:00:40 GMT-0700 (Pacific Daylight Time),35.82062843141568
Thu Sep 08 2022 20:00:50 GMT-0700 (Pacific Daylight Time),35.82062843141568
Thu Sep 08 2022 20:01:00 GMT-0700 (Pacific Daylight Time),35.82062843141568
Thu Sep 08 2022 20:01:10 GMT-0700 (Pacific Daylight Time),34.79460258118196
Thu Sep 08 2022 20:01:20 GMT-0700 (Pacific Daylight Time),34.79460258118196
Thu Sep 08 2022 20:01:30 GMT-0700 (Pacific Daylight Time),34.79460258118196
Thu Sep 08 2022 20:01:40 GMT-0700 (Pacific Daylight Time),34.79460258118196
Thu Sep 08 2022 20:01:50 GMT-0700 (Pacific Daylight Time),34.79460258118196
Thu Sep 08 2022 20:02:00 GMT-0700 (Pacific Daylight Time),34.79460258118196
Thu Sep 08 2022 20:02:10 GMT-0700 (Pacific Daylight Time),34.42604223491911
Thu Sep 08 2022 20:02:20 GMT-0700 (Pacific Daylight Time),34.42604223491911
Thu Sep 08 2022 20:02:30 GMT-0700 (Pacific Daylight Time),34.42604223491911
Thu Sep 08 2022 20:02:40 GMT-0700 (Pacific Daylight Time),34.42604223491911
Thu Sep 08 2022 20:02:50 GMT-0700 (Pacific Daylight Time),34.42604223491911
Thu Sep 08 2022 20:03:00 GMT-0700 (Pacific Daylight Time),34.42604223491911
Thu Sep 08 2022 20:03:10 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:03:20 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:03:30 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:03:40 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:03:50 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:04:00 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:04:10 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:04:20 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:04:30 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:04:40 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:04:50 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:05:00 GMT-0700 (Pacific Daylight Time),34.88338377500753
Thu Sep 08 2022 20:11:10 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:11:20 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:11:30 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:11:40 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:11:50 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:12:00 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:12:10 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:12:20 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:12:30 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:12:40 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:12:50 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:13:00 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:13:10 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:13:20 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:13:30 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:13:40 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:13:50 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:14:00 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:14:10 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:14:20 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:14:30 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:14:40 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:14:50 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:15:00 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:15:10 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:15:20 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:15:30 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:15:40 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:15:50 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:16:00 GMT-0700 (Pacific Daylight Time),1.4210854715202004e-14
Thu Sep 08 2022 20:16:10 GMT-0700 (Pacific Daylight Time),34.45394521456133
Thu Sep 08 2022 20:16:20 GMT-0700 (Pacific Daylight Time),34.45394521456133
Thu Sep 08 2022 20:16:30 GMT-0700 (Pacific Daylight Time),34.45394521456133
Thu Sep 08 2022 20:16:40 GMT-0700 (Pacific Daylight Time),34.45394521456133
Thu Sep 08 2022 20:16:50 GMT-0700 (Pacific Daylight Time),34.45394521456133
Thu Sep 08 2022 20:17:00 GMT-0700 (Pacific Daylight Time),34.45394521456133
Thu Sep 08 2022 20:17:10 GMT-0700 (Pacific Daylight Time),33.71549422321909
Thu Sep 08 2022 20:17:20 GMT-0700 (Pacific Daylight Time),33.71549422321909
Thu Sep 08 2022 20:17:30 GMT-0700 (Pacific Daylight Time),33.71549422321909
Thu Sep 08 2022 20:17:40 GMT-0700 (Pacific Daylight Time),33.71549422321909
Thu Sep 08 2022 20:17:50 GMT-0700 (Pacific Daylight Time),33.71549422321909
Thu Sep 08 2022 20:18:00 GMT-0700 (Pacific Daylight Time),33.71549422321909
Thu Sep 08 2022 20:18:10 GMT-0700 (Pacific Daylight Time),36.105278401543586
Thu Sep 08 2022 20:18:20 GMT-0700 (Pacific Daylight Time),36.105278401543586
Thu Sep 08 2022 20:18:30 GMT-0700 (Pacific Daylight Time),36.105278401543586
Thu Sep 08 2022 20:18:40 GMT-0700 (Pacific Daylight Time),36.105278401543586
Thu Sep 08 2022 20:18:50 GMT-0700 (Pacific Daylight Time),36.105278401543586
Thu Sep 08 2022 20:19:00 GMT-0700 (Pacific Daylight Time),36.105278401543586
Thu Sep 08 2022 20:19:10 GMT-0700 (Pacific Daylight Time),37.7478949832962
Thu Sep 08 2022 20:19:20 GMT-0700 (Pacific Daylight Time),37.7478949832962
Thu Sep 08 2022 20:19:30 GMT-0700 (Pacific Daylight Time),37.7478949832962
Thu Sep 08 2022 20:19:40 GMT-0700 (Pacific Daylight Time),37.7478949832962
Thu Sep 08 2022 20:19:50 GMT-0700 (Pacific Daylight Time),37.7478949832962
Thu Sep 08 2022 20:20:00 GMT-0700 (Pacific Daylight Time),37.7478949832962
Thu Sep 08 2022 20:20:10 GMT-0700 (Pacific Daylight Time),35.501082539989426
Thu Sep 08 2022 20:20:20 GMT-0700 (Pacific Daylight Time),35.501082539989426
Thu Sep 08 2022 20:20:30 GMT-0700 (Pacific Daylight Time),35.501082539989426
Thu Sep 08 2022 20:20:40 GMT-0700 (Pacific Daylight Time),35.501082539989426
Thu Sep 08 2022 20:20:50 GMT-0700 (Pacific Daylight Time),35.501082539989426
Thu Sep 08 2022 20:21:00 GMT-0700 (Pacific Daylight Time),35.501082539989426
Thu Sep 08 2022 20:21:10 GMT-0700 (Pacific Daylight Time),35.98243776211201
Thu Sep 08 2022 20:21:20 GMT-0700 (Pacific Daylight Time),35.98243776211201
Thu Sep 08 2022 20:21:30 GMT-0700 (Pacific Daylight Time),35.98243776211201
Thu Sep 08 2022 20:21:40 GMT-0700 (Pacific Daylight Time),35.98243776211201
Thu Sep 08 2022 20:21:50 GMT-0700 (Pacific Daylight Time),35.98243776211201
